Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Latitude,Longitude,ZIP Code
4635,BRALIGSF,BRANSFORD AVE & LIGON DR SB,False,False,1,100 OAKS,36.121755,-86.765561,37204
1659,NOLTUSSN,NOLENSVILLE PIKE & TUSCULUM RD SB,False,False,52,NOLENSVILLE PK BRT LITE,36.059105,-86.716445,37211
5275,11APORSF,11TH AVE & PORTER ST SB,False,False,17,12TH AVENUE SOUTH,36.157903,-86.786781,37203
1150,HILHAMSN,HILLSBORO PIKE & HAMPTON AVE SB,False,False,7,HILLSBORO,36.116092,-86.810628,37215
5458,CM5_2,Temporary Bay 2,False,False,,LEBANON PIKE,,,
1076,HARLYNWF,HARDING PIKE & LYNNWOOD BLVD WB,False,False,5,WEST END - BELLEVUE,36.121236,-86.852861,37205
4578,GXORIVEN,RIVERGATE STATION OUTBOUND,True,False,"26,56",GALLATIN PIKE,36.300827,-86.694508,37215
325,ANNCHAEN,ANNEX AVE & CHARLOTTE PIKE EB,False,False,10,CHARLOTTE,36.139638,-86.881283,37209
299,8AARGSM,8TH AVE S & ARGYLE AV SB,False,False,8,8TH AVENUE SOUTH,36.13524,-86.779147,37204
394,BELCLISF,BELMONT BLVD & CLIFTON LN SB,False,False,"2,21",BELMONT,36.114409,-86.799921,37215
1128,HERMIDSN,HERMITAGE AVE & MIDDLETON ST SB,False,True,"25,27,34,36,44",LEBANON PIKE,36.155912,-86.767211,37210
1462,MERTRUNN,MERIDIAN ST & TRUETLAN ST NB,False,False,28,MERIDIAN,36.179972,-86.769035,37207
5174,23RBUCSN,23RD AVE & BUCHANAN ST SB,False,False,22,BORDEAUX,36.180613,-86.814645,37208
150,21AWOOSN,21ST AVE S & WOODLAWN DR SB,False,True,7,HILLSBORO,36.125424,-86.805563,37212
2485,COLCOLNN,COLEMONT DR & COLERIDGE DR NB,False,False,37,TUSCULUM - McMURRAY EXPRESS,36.059183,-86.698399,37213
2468,OLDOAKEN,OLD HICKORY BLVD & OAKES DR EB,False,False,37,TUSCULUM - McMURRAY EXPRESS,36.040755,-86.773622,37027
916,GALCAHSN,GALLATIN PIKE & CAHAL AVE SB,False,False,26,GALLATIN PIKE,36.196227,-86.742545,37206
